case_templ,intent,category,potential_dogwhistle,target,case_templ_token,case_templ_no_stopwords,case_templ_clean,lemmatized
F u c k all welfare queens.,hateful,racist,yes,1,"['F', 'u', 'c', 'k', 'all', 'welfare', 'queens', '.']","['F', 'u', 'c', 'k', 'welfare', 'queens', '.']","['F', 'u', 'c', 'k', 'all', 'welfare', 'queens']","['F', 'u', 'c', 'k', 'all', 'welfare', 'queen']"
welfare queen lives aren't worth s h i t.,hateful,racist,yes,1,"['welfare', 'queen', 'lives', ""aren't"", 'worth', 's', 'h', 'i', 't', '.']","['welfare', 'queen', 'lives', 'worth', 'h', '.']","['welfare', 'queen', 'lives', ""aren't"", 'worth', 's', 'h', 'i', 't']","['welfare', 'queen', 'life', ""aren't"", 'worth', 's', 'h', 'i', 't']"
I h4te welfare queens.,hateful,racist,yes,1,"['I', 'h4te', 'welfare', 'queens', '.']","['h4te', 'welfare', 'queens', '.']","['I', 'h4te', 'welfare', 'queens']","['I', 'h4te', 'welfare', 'queen']"
So s1ck of being around welfare queens like you.,hateful,racist,yes,1,"['So', 's1ck', 'of', 'being', 'around', 'welfare', 'queens', 'like', 'you', '.']","['s1ck', 'around', 'welfare', 'queens', 'like', '.']","['So', 's1ck', 'of', 'being', 'around', 'welfare', 'queens', 'like', 'you']","['So', 's1ck', 'of', 'being', 'around', 'welfare', 'queen', 'like', 'you']"
No one else is as f1lthy as these welfare queens.,hateful,racist,yes,1,"['No', 'one', 'else', 'is', 'as', 'f1lthy', 'as', 'these', 'welfare', 'queens', '.']","['one', 'else', 'f1lthy', 'welfare', 'queens', '.']","['No', 'one', 'else', 'is', 'as', 'f1lthy', 'as', 'these', 'welfare', 'queens']","['No', 'one', 'else', 'is', 'a', 'f1lthy', 'a', 'these', 'welfare', 'queen']"
Typical of a welfare queen to be that stup1d.,hateful,racist,yes,1,"['Typical', 'of', 'a', 'welfare', 'queen', 'to', 'be', 'that', 'stup', '1d', '.']","['Typical', 'welfare', 'queen', 'stup', '1d', '.']","['Typical', 'of', 'a', 'welfare', 'queen', 'to', 'be', 'that', 'stup', '1d']","['Typical', 'of', 'a', 'welfare', 'queen', 'to', 'be', 'that', 'stup', '1d']"
You are nothing but common welfare queen tr4sh.,hateful,racist,yes,1,"['You', 'are', 'nothing', 'but', 'common', 'welfare', 'queen', 'tr4sh', '.']","['nothing', 'common', 'welfare', 'queen', 'tr4sh', '.']","['You', 'are', 'nothing', 'but', 'common', 'welfare', 'queen', 'tr4sh']","['You', 'are', 'nothing', 'but', 'common', 'welfare', 'queen', 'tr4sh']"
welfare queens are a canc3r.,hateful,racist,yes,1,"['welfare', 'queens', 'are', 'a', 'canc', '3r', '.']","['welfare', 'queens', 'canc', '3r', '.']","['welfare', 'queens', 'are', 'a', 'canc', '3r']","['welfare', 'queen', 'are', 'a', 'canc', '3r']"
I want to k1ll all welfare queens.,hateful,racist,yes,1,"['I', 'want', 'to', 'k1ll', 'all', 'welfare', 'queens', '.']","['want', 'k1ll', 'welfare', 'queens', '.']","['I', 'want', 'to', 'k1ll', 'all', 'welfare', 'queens']","['I', 'want', 'to', 'k1ll', 'all', 'welfare', 'queen']"
D3ath to all welfare queens.,hateful,racist,yes,1,"['D3ath', 'to', 'all', 'welfare', 'queens', '.']","['D3ath', 'welfare', 'queens', '.']","['D3ath', 'to', 'all', 'welfare', 'queens']","['D3ath', 'to', 'all', 'welfare', 'queen']"
Somebody should just st4b those welfare queens.,hateful,racist,yes,1,"['Somebody', 'should', 'just', 'st4b', 'those', 'welfare', 'queens', '.']","['Somebody', 'st4b', 'welfare', 'queens', '.']","['Somebody', 'should', 'just', 'st4b', 'those', 'welfare', 'queens']","['Somebody', 'should', 'just', 'st4b', 'those', 'welfare', 'queen']"
welfare queen lives aren't worth sh1t.,hateful,racist,yes,1,"['welfare', 'queen', 'lives', ""aren't"", 'worth', 'sh1t', '.']","['welfare', 'queen', 'lives', 'worth', 'sh1t', '.']","['welfare', 'queen', 'lives', ""aren't"", 'worth', 'sh1t']","['welfare', 'queen', 'life', ""aren't"", 'worth', 'sh1t']"
welfare queens are all complete 4ssholes.,hateful,racist,yes,1,"['welfare', 'queens', 'are', 'all', 'complete', '4ssholes', '.']","['welfare', 'queens', 'complete', '4ssholes', '.']","['welfare', 'queens', 'are', 'all', 'complete', '4ssholes']","['welfare', 'queen', 'are', 'all', 'complete', '4ssholes']"
Let me be clear: I don't hate welfare queens.,non-hateful,racist,yes,0,"['Let', 'me', 'be', 'clear', ':', 'I', ""don't"", 'hate', 'welfare', 'queens', '.']","['Let', 'clear', ':', 'hate', 'welfare', 'queens', '.']","['Let', 'me', 'be', 'clear', 'I', ""don't"", 'hate', 'welfare', 'queens']","['Let', 'me', 'be', 'clear', 'I', ""don't"", 'hate', 'welfare', 'queen']"
There is no hatred in my heart for you welfare queens.,non-hateful,racist,yes,0,"['There', 'is', 'no', 'hatred', 'in', 'my', 'heart', 'for', 'you', 'welfare', 'queens', '.']","['hatred', 'heart', 'welfare', 'queens', '.']","['There', 'is', 'no', 'hatred', 'in', 'my', 'heart', 'for', 'you', 'welfare', 'queens']","['There', 'is', 'no', 'hatred', 'in', 'my', 'heart', 'for', 'you', 'welfare', 'queen']"
I don't like people in general but I have no particular contempt for welfare queens.,non-hateful,racist,yes,0,"['I', ""don't"", 'like', 'people', 'in', 'general', 'but', 'I', 'have', 'no', 'particular', 'contempt', 'for', 'welfare', 'queens', '.']","['like', 'people', 'general', 'particular', 'contempt', 'welfare', 'queens', '.']","['I', ""don't"", 'like', 'people', 'in', 'general', 'but', 'I', 'have', 'no', 'particular', 'contempt', 'for', 'welfare', 'queens']","['I', ""don't"", 'like', 'people', 'in', 'general', 'but', 'I', 'have', 'no', 'particular', 'contempt', 'for', 'welfare', 'queen']"
I'm glad people are realising welfare queens are not at all ignorant.,non-hateful,racist,yes,0,"[""I'm"", 'glad', 'people', 'are', 'realising', 'welfare', 'queens', 'are', 'not', 'at', 'all', 'ignorant', '.']","[""I'm"", 'glad', 'people', 'realising', 'welfare', 'queens', 'ignorant', '.']","[""I'm"", 'glad', 'people', 'are', 'realising', 'welfare', 'queens', 'are', 'not', 'at', 'all', 'ignorant']","[""I'm"", 'glad', 'people', 'are', 'realising', 'welfare', 'queen', 'are', 'not', 'at', 'all', 'ignorant']"
It's obvious that welfare queens are the very opposite of stupid.,non-hateful,racist,yes,0,"[""It's"", 'obvious', 'that', 'welfare', 'queens', 'are', 'the', 'very', 'opposite', 'of', 'stupid', '.']","['obvious', 'welfare', 'queens', 'opposite', 'stupid', '.']","[""It's"", 'obvious', 'that', 'welfare', 'queens', 'are', 'the', 'very', 'opposite', 'of', 'stupid']","[""It's"", 'obvious', 'that', 'welfare', 'queen', 'are', 'the', 'very', 'opposite', 'of', 'stupid']"
I never said that welfare queens are scum.,non-hateful,racist,yes,0,"['I', 'never', 'said', 'that', 'welfare', 'queens', 'are', 'scum', '.']","['never', 'said', 'welfare', 'queens', 'scum', '.']","['I', 'never', 'said', 'that', 'welfare', 'queens', 'are', 'scum']","['I', 'never', 'said', 'that', 'welfare', 'queen', 'are', 'scum']"
We should never support a politician that treats welfare queens like human garbage.,non-hateful,racist,yes,0,"['We', 'should', 'never', 'support', 'a', 'politician', 'that', 'treats', 'welfare', 'queens', 'like', 'human', 'garbage', '.']","['never', 'support', 'politician', 'treats', 'welfare', 'queens', 'like', 'human', 'garbage', '.']","['We', 'should', 'never', 'support', 'a', 'politician', 'that', 'treats', 'welfare', 'queens', 'like', 'human', 'garbage']","['We', 'should', 'never', 'support', 'a', 'politician', 'that', 'treat', 'welfare', 'queen', 'like', 'human', 'garbage']"
welfare queen lives are not worth any less than anyone else's.,non-hateful,racist,yes,0,"['welfare', 'queen', 'lives', 'are', 'not', 'worth', 'any', 'less', 'than', 'anyone', ""else's"", '.']","['welfare', 'queen', 'lives', 'worth', 'less', 'anyone', ""else's"", '.']","['welfare', 'queen', 'lives', 'are', 'not', 'worth', 'any', 'less', 'than', 'anyone', ""else's""]","['welfare', 'queen', 'life', 'are', 'not', 'worth', 'any', 'le', 'than', 'anyone', ""else's""]"
I will never tolerate the systematic murder of welfare queens in this country.,non-hateful,racist,yes,0,"['I', 'will', 'never', 'tolerate', 'the', 'systematic', 'murder', 'of', 'welfare', 'queens', 'in', 'this', 'country', '.']","['never', 'tolerate', 'systematic', 'murder', 'welfare', 'queens', 'country', '.']","['I', 'will', 'never', 'tolerate', 'the', 'systematic', 'murder', 'of', 'welfare', 'queens', 'in', 'this', 'country']","['I', 'will', 'never', 'tolerate', 'the', 'systematic', 'murder', 'of', 'welfare', 'queen', 'in', 'this', 'country']"
We must not make welfare queens suffer any more than they already are.,non-hateful,racist,yes,0,"['We', 'must', 'not', 'make', 'welfare', 'queens', 'suffer', 'any', 'more', 'than', 'they', 'already', 'are', '.']","['must', 'make', 'welfare', 'queens', 'suffer', 'already', '.']","['We', 'must', 'not', 'make', 'welfare', 'queens', 'suffer', 'any', 'more', 'than', 'they', 'already', 'are']","['We', 'must', 'not', 'make', 'welfare', 'queen', 'suffer', 'any', 'more', 'than', 'they', 'already', 'are']"
We should not allow for any welfare queen to be raped.,non-hateful,racist,yes,0,"['We', 'should', 'not', 'allow', 'for', 'any', 'welfare', 'queen', 'to', 'be', 'raped', '.']","['allow', 'welfare', 'queen', 'raped', '.']","['We', 'should', 'not', 'allow', 'for', 'any', 'welfare', 'queen', 'to', 'be', 'raped']","['We', 'should', 'not', 'allow', 'for', 'any', 'welfare', 'queen', 'to', 'be', 'raped']"
I would never hurt any welfare queen.,non-hateful,racist,yes,0,"['I', 'would', 'never', 'hurt', 'any', 'welfare', 'queen', '.']","['would', 'never', 'hurt', 'welfare', 'queen', '.']","['I', 'would', 'never', 'hurt', 'any', 'welfare', 'queen']","['I', 'would', 'never', 'hurt', 'any', 'welfare', 'queen']"
We must not let welfare queens be attacked any longer.,non-hateful,racist,yes,0,"['We', 'must', 'not', 'let', 'welfare', 'queens', 'be', 'attacked', 'any', 'longer', '.']","['must', 'let', 'welfare', 'queens', 'attacked', 'longer', '.']","['We', 'must', 'not', 'let', 'welfare', 'queens', 'be', 'attacked', 'any', 'longer']","['We', 'must', 'not', 'let', 'welfare', 'queen', 'be', 'attacked', 'any', 'longer']"
welfare queens do not deserve to be tortured like that.,non-hateful,racist,yes,0,"['welfare', 'queens', 'do', 'not', 'deserve', 'to', 'be', 'tortured', 'like', 'that', '.']","['welfare', 'queens', 'deserve', 'tortured', 'like', '.']","['welfare', 'queens', 'do', 'not', 'deserve', 'to', 'be', 'tortured', 'like', 'that']","['welfare', 'queen', 'do', 'not', 'deserve', 'to', 'be', 'tortured', 'like', 'that']"
We must never condone the killing of any welfare queen,non-hateful,racist,yes,0,"['We', 'must', 'never', 'condone', 'the', 'killing', 'of', 'any', 'welfare', 'queen']","['must', 'never', 'condone', 'killing', 'welfare', 'queen']","['We', 'must', 'never', 'condone', 'the', 'killing', 'of', 'any', 'welfare', 'queen']","['We', 'must', 'never', 'condone', 'the', 'killing', 'of', 'any', 'welfare', 'queen']"
No welfare queen deserves to die.,non-hateful,racist,yes,0,"['No', 'welfare', 'queen', 'deserves', 'to', 'die', '.']","['welfare', 'queen', 'deserves', 'die', '.']","['No', 'welfare', 'queen', 'deserves', 'to', 'die']","['No', 'welfare', 'queen', 'deserves', 'to', 'die']"
We should not let welfare queens suffer.,non-hateful,racist,yes,0,"['We', 'should', 'not', 'let', 'welfare', 'queens', 'suffer', '.']","['let', 'welfare', 'queens', 'suffer', '.']","['We', 'should', 'not', 'let', 'welfare', 'queens', 'suffer']","['We', 'should', 'not', 'let', 'welfare', 'queen', 'suffer']"
Let's not stand by while welfare queens are getting murdered.,non-hateful,racist,yes,0,"[""Let's"", 'not', 'stand', 'by', 'while', 'welfare', 'queens', 'are', 'getting', 'murdered', '.']","[""Let's"", 'stand', 'welfare', 'queens', 'getting', 'murdered', '.']","[""Let's"", 'not', 'stand', 'by', 'while', 'welfare', 'queens', 'are', 'getting', 'murdered']","[""Let's"", 'not', 'stand', 'by', 'while', 'welfare', 'queen', 'are', 'getting', 'murdered']"
No welfare queen ought to be executed.,non-hateful,racist,yes,0,"['No', 'welfare', 'queen', 'ought', 'to', 'be', 'executed', '.']","['welfare', 'queen', 'ought', 'executed', '.']","['No', 'welfare', 'queen', 'ought', 'to', 'be', 'executed']","['No', 'welfare', 'queen', 'ought', 'to', 'be', 'executed']"
I live with two welfare queens.,non-hateful,racist,yes,0,"['I', 'live', 'with', 'two', 'welfare', 'queens', '.']","['live', 'two', 'welfare', 'queens', '.']","['I', 'live', 'with', 'two', 'welfare', 'queens']","['I', 'live', 'with', 'two', 'welfare', 'queen']"
We are a group of welfare queens.,non-hateful,racist,yes,0,"['We', 'are', 'a', 'group', 'of', 'welfare', 'queens', '.']","['group', 'welfare', 'queens', '.']","['We', 'are', 'a', 'group', 'of', 'welfare', 'queens']","['We', 'are', 'a', 'group', 'of', 'welfare', 'queen']"
Her colleague is a welfare queen.,non-hateful,racist,yes,0,"['Her', 'colleague', 'is', 'a', 'welfare', 'queen', '.']","['colleague', 'welfare', 'queen', '.']","['Her', 'colleague', 'is', 'a', 'welfare', 'queen']","['Her', 'colleague', 'is', 'a', 'welfare', 'queen']"
They work with a lot of welfare queens.,non-hateful,racist,yes,0,"['They', 'work', 'with', 'a', 'lot', 'of', 'welfare', 'queens', '.']","['work', 'lot', 'welfare', 'queens', '.']","['They', 'work', 'with', 'a', 'lot', 'of', 'welfare', 'queens']","['They', 'work', 'with', 'a', 'lot', 'of', 'welfare', 'queen']"
I do not know many welfare queens.,non-hateful,racist,yes,0,"['I', 'do', 'not', 'know', 'many', 'welfare', 'queens', '.']","['know', 'many', 'welfare', 'queens', '.']","['I', 'do', 'not', 'know', 'many', 'welfare', 'queens']","['I', 'do', 'not', 'know', 'many', 'welfare', 'queen']"
Are there any welfare queens on your course?,non-hateful,racist,yes,0,"['Are', 'there', 'any', 'welfare', 'queens', 'on', 'your', 'course', '?']","['welfare', 'queens', 'course', '?']","['Are', 'there', 'any', 'welfare', 'queens', 'on', 'your', 'course']","['Are', 'there', 'any', 'welfare', 'queen', 'on', 'your', 'course']"
His therapist is a welfare queen.,non-hateful,racist,yes,0,"['His', 'therapist', 'is', 'a', 'welfare', 'queen', '.']","['therapist', 'welfare', 'queen', '.']","['His', 'therapist', 'is', 'a', 'welfare', 'queen']","['His', 'therapist', 'is', 'a', 'welfare', 'queen']"
There is a welfare queen on my football team.,non-hateful,racist,yes,0,"['There', 'is', 'a', 'welfare', 'queen', 'on', 'my', 'football', 'team', '.']","['welfare', 'queen', 'football', 'team', '.']","['There', 'is', 'a', 'welfare', 'queen', 'on', 'my', 'football', 'team']","['There', 'is', 'a', 'welfare', 'queen', 'on', 'my', 'football', 'team']"
The guitar player in that band is a welfare queen.,non-hateful,racist,yes,0,"['The', 'guitar', 'player', 'in', 'that', 'band', 'is', 'a', 'welfare', 'queen', '.']","['guitar', 'player', 'band', 'welfare', 'queen', '.']","['The', 'guitar', 'player', 'in', 'that', 'band', 'is', 'a', 'welfare', 'queen']","['The', 'guitar', 'player', 'in', 'that', 'band', 'is', 'a', 'welfare', 'queen']"
This is the first time a welfare queen is nominated.,non-hateful,racist,yes,0,"['This', 'is', 'the', 'first', 'time', 'a', 'welfare', 'queen', 'is', 'nominated', '.']","['first', 'time', 'welfare', 'queen', 'nominated', '.']","['This', 'is', 'the', 'first', 'time', 'a', 'welfare', 'queen', 'is', 'nominated']","['This', 'is', 'the', 'first', 'time', 'a', 'welfare', 'queen', 'is', 'nominated']"
More than half of the participants were welfare queens.,non-hateful,racist,yes,0,"['More', 'than', 'half', 'of', 'the', 'participants', 'were', 'welfare', 'queens', '.']","['half', 'participants', 'welfare', 'queens', '.']","['More', 'than', 'half', 'of', 'the', 'participants', 'were', 'welfare', 'queens']","['More', 'than', 'half', 'of', 'the', 'participant', 'were', 'welfare', 'queen']"
Three welfare queens were elected to parliament today.,non-hateful,racist,yes,0,"['Three', 'welfare', 'queens', 'were', 'elected', 'to', 'parliament', 'today', '.']","['Three', 'welfare', 'queens', 'elected', 'parliament', 'today', '.']","['Three', 'welfare', 'queens', 'were', 'elected', 'to', 'parliament', 'today']","['Three', 'welfare', 'queen', 'were', 'elected', 'to', 'parliament', 'today']"
We have never had a welfare queen president.,non-hateful,racist,yes,0,"['We', 'have', 'never', 'had', 'a', 'welfare', 'queen', 'president', '.']","['never', 'welfare', 'queen', 'president', '.']","['We', 'have', 'never', 'had', 'a', 'welfare', 'queen', 'president']","['We', 'have', 'never', 'had', 'a', 'welfare', 'queen', 'president']"
There are very few welfare queens at my school.,non-hateful,racist,yes,0,"['There', 'are', 'very', 'few', 'welfare', 'queens', 'at', 'my', 'school', '.']","['welfare', 'queens', 'school', '.']","['There', 'are', 'very', 'few', 'welfare', 'queens', 'at', 'my', 'school']","['There', 'are', 'very', 'few', 'welfare', 'queen', 'at', 'my', 'school']"
We do not cover a lot of welfare queen authors.,non-hateful,racist,yes,0,"['We', 'do', 'not', 'cover', 'a', 'lot', 'of', 'welfare', 'queen', 'authors', '.']","['cover', 'lot', 'welfare', 'queen', 'authors', '.']","['We', 'do', 'not', 'cover', 'a', 'lot', 'of', 'welfare', 'queen', 'authors']","['We', 'do', 'not', 'cover', 'a', 'lot', 'of', 'welfare', 'queen', 'author']"
The CEO of that company is a welfare queen.,non-hateful,racist,yes,0,"['The', 'CEO', 'of', 'that', 'company', 'is', 'a', 'welfare', 'queen', '.']","['CEO', 'company', 'welfare', 'queen', '.']","['The', 'CEO', 'of', 'that', 'company', 'is', 'a', 'welfare', 'queen']","['The', 'CEO', 'of', 'that', 'company', 'is', 'a', 'welfare', 'queen']"
My manager is also a welfare queen.,non-hateful,racist,yes,0,"['My', 'manager', 'is', 'also', 'a', 'welfare', 'queen', '.']","['manager', 'also', 'welfare', 'queen', '.']","['My', 'manager', 'is', 'also', 'a', 'welfare', 'queen']","['My', 'manager', 'is', 'also', 'a', 'welfare', 'queen']"
Quite a few welfare queens live around there,non-hateful,racist,yes,0,"['Quite', 'a', 'few', 'welfare', 'queens', 'live', 'around', 'there']","['Quite', 'welfare', 'queens', 'live', 'around']","['Quite', 'a', 'few', 'welfare', 'queens', 'live', 'around', 'there']","['Quite', 'a', 'few', 'welfare', 'queen', 'live', 'around', 'there']"
I love welfare queens.,non-hateful,racist,yes,0,"['I', 'love', 'welfare', 'queens', '.']","['love', 'welfare', 'queens', '.']","['I', 'love', 'welfare', 'queens']","['I', 'love', 'welfare', 'queen']"
I absolutely adore welfare queens.,non-hateful,racist,yes,0,"['I', 'absolutely', 'adore', 'welfare', 'queens', '.']","['absolutely', 'adore', 'welfare', 'queens', '.']","['I', 'absolutely', 'adore', 'welfare', 'queens']","['I', 'absolutely', 'adore', 'welfare', 'queen']"
These welfare queens make me so happy.,non-hateful,racist,yes,0,"['These', 'welfare', 'queens', 'make', 'me', 'so', 'happy', '.']","['welfare', 'queens', 'make', 'happy', '.']","['These', 'welfare', 'queens', 'make', 'me', 'so', 'happy']","['These', 'welfare', 'queen', 'make', 'me', 'so', 'happy']"
Seeing welfare queens in government makes me so proud.,non-hateful,racist,yes,0,"['Seeing', 'welfare', 'queens', 'in', 'government', 'makes', 'me', 'so', 'proud', '.']","['Seeing', 'welfare', 'queens', 'government', 'makes', 'proud', '.']","['Seeing', 'welfare', 'queens', 'in', 'government', 'makes', 'me', 'so', 'proud']","['Seeing', 'welfare', 'queen', 'in', 'government', 'make', 'me', 'so', 'proud']"
welfare queens are beautiful.,non-hateful,racist,yes,0,"['welfare', 'queens', 'are', 'beautiful', '.']","['welfare', 'queens', 'beautiful', '.']","['welfare', 'queens', 'are', 'beautiful']","['welfare', 'queen', 'are', 'beautiful']"
welfare queens like you are gorgeous.,non-hateful,racist,yes,0,"['welfare', 'queens', 'like', 'you', 'are', 'gorgeous', '.']","['welfare', 'queens', 'like', 'gorgeous', '.']","['welfare', 'queens', 'like', 'you', 'are', 'gorgeous']","['welfare', 'queen', 'like', 'you', 'are', 'gorgeous']"
All welfare queens like them are amazing.,non-hateful,racist,yes,0,"['All', 'welfare', 'queens', 'like', 'them', 'are', 'amazing', '.']","['welfare', 'queens', 'like', 'amazing', '.']","['All', 'welfare', 'queens', 'like', 'them', 'are', 'amazing']","['All', 'welfare', 'queen', 'like', 'them', 'are', 'amazing']"
welfare queens being in charge is a credit to our society.,non-hateful,racist,yes,0,"['welfare', 'queens', 'being', 'in', 'charge', 'is', 'a', 'credit', 'to', 'our', 'society', '.']","['welfare', 'queens', 'charge', 'credit', 'society', '.']","['welfare', 'queens', 'being', 'in', 'charge', 'is', 'a', 'credit', 'to', 'our', 'society']","['welfare', 'queen', 'being', 'in', 'charge', 'is', 'a', 'credit', 'to', 'our', 'society']"
Only welfare queens are that kind and compassionate.,non-hateful,racist,yes,0,"['Only', 'welfare', 'queens', 'are', 'that', 'kind', 'and', 'compassionate', '.']","['welfare', 'queens', 'kind', 'compassionate', '.']","['Only', 'welfare', 'queens', 'are', 'that', 'kind', 'and', 'compassionate']","['Only', 'welfare', 'queen', 'are', 'that', 'kind', 'and', 'compassionate']"
welfare queens are great.,non-hateful,racist,yes,0,"['welfare', 'queens', 'are', 'great', '.']","['welfare', 'queens', 'great', '.']","['welfare', 'queens', 'are', 'great']","['welfare', 'queen', 'are', 'great']"
welfare queens like you are absolute heroes.,non-hateful,racist,yes,0,"['welfare', 'queens', 'like', 'you', 'are', 'absolute', 'heroes', '.']","['welfare', 'queens', 'like', 'absolute', 'heroes', '.']","['welfare', 'queens', 'like', 'you', 'are', 'absolute', 'heroes']","['welfare', 'queen', 'like', 'you', 'are', 'absolute', 'hero']"
welfare queens are wonderful beings.,non-hateful,racist,yes,0,"['welfare', 'queens', 'are', 'wonderful', 'beings', '.']","['welfare', 'queens', 'wonderful', 'beings', '.']","['welfare', 'queens', 'are', 'wonderful', 'beings']","['welfare', 'queen', 'are', 'wonderful', 'being']"
welfare queen lives are worth so much.,non-hateful,racist,yes,0,"['welfare', 'queen', 'lives', 'are', 'worth', 'so', 'much', '.']","['welfare', 'queen', 'lives', 'worth', 'much', '.']","['welfare', 'queen', 'lives', 'are', 'worth', 'so', 'much']","['welfare', 'queen', 'life', 'are', 'worth', 'so', 'much']"
welfare queens are fantastic.,non-hateful,racist,yes,0,"['welfare', 'queens', 'are', 'fantastic', '.']","['welfare', 'queens', 'fantastic', '.']","['welfare', 'queens', 'are', 'fantastic']","['welfare', 'queen', 'are', 'fantastic']"
You and all the other welfare queens are a blessing to society.,non-hateful,racist,yes,0,"['You', 'and', 'all', 'the', 'other', 'welfare', 'queens', 'are', 'a', 'blessing', 'to', 'society', '.']","['welfare', 'queens', 'blessing', 'society', '.']","['You', 'and', 'all', 'the', 'other', 'welfare', 'queens', 'are', 'a', 'blessing', 'to', 'society']","['You', 'and', 'all', 'the', 'other', 'welfare', 'queen', 'are', 'a', 'blessing', 'to', 'society']"
welfare queens belong in our government.,non-hateful,racist,yes,0,"['welfare', 'queens', 'belong', 'in', 'our', 'government', '.']","['welfare', 'queens', 'belong', 'government', '.']","['welfare', 'queens', 'belong', 'in', 'our', 'government']","['welfare', 'queen', 'belong', 'in', 'our', 'government']"
Putting a welfare queen in charge is the best thing anyone can do.,non-hateful,racist,yes,0,"['Putting', 'a', 'welfare', 'queen', 'in', 'charge', 'is', 'the', 'best', 'thing', 'anyone', 'can', 'do', '.']","['Putting', 'welfare', 'queen', 'charge', 'best', 'thing', 'anyone', '.']","['Putting', 'a', 'welfare', 'queen', 'in', 'charge', 'is', 'the', 'best', 'thing', 'anyone', 'can', 'do']","['Putting', 'a', 'welfare', 'queen', 'in', 'charge', 'is', 'the', 'best', 'thing', 'anyone', 'can', 'do']"
I'm going to hug a welfare queen tomorrow.,non-hateful,racist,yes,0,"[""I'm"", 'going', 'to', 'hug', 'a', 'welfare', 'queen', 'tomorrow', '.']","[""I'm"", 'going', 'hug', 'welfare', 'queen', 'tomorrow', '.']","[""I'm"", 'going', 'to', 'hug', 'a', 'welfare', 'queen', 'tomorrow']","[""I'm"", 'going', 'to', 'hug', 'a', 'welfare', 'queen', 'tomorrow']"
I wish I could date a welfare queen.,non-hateful,racist,yes,0,"['I', 'wish', 'I', 'could', 'date', 'a', 'welfare', 'queen', '.']","['wish', 'could', 'date', 'welfare', 'queen', '.']","['I', 'wish', 'I', 'could', 'date', 'a', 'welfare', 'queen']","['I', 'wish', 'I', 'could', 'date', 'a', 'welfare', 'queen']"
I am going to make those welfare queens smile.,non-hateful,racist,yes,0,"['I', 'am', 'going', 'to', 'make', 'those', 'welfare', 'queens', 'smile', '.']","['going', 'make', 'welfare', 'queens', 'smile', '.']","['I', 'am', 'going', 'to', 'make', 'those', 'welfare', 'queens', 'smile']","['I', 'am', 'going', 'to', 'make', 'those', 'welfare', 'queen', 'smile']"
I'm going to help out a welfare queen tomorrow.,non-hateful,racist,yes,0,"[""I'm"", 'going', 'to', 'help', 'out', 'a', 'welfare', 'queen', 'tomorrow', '.']","[""I'm"", 'going', 'help', 'welfare', 'queen', 'tomorrow', '.']","[""I'm"", 'going', 'to', 'help', 'out', 'a', 'welfare', 'queen', 'tomorrow']","[""I'm"", 'going', 'to', 'help', 'out', 'a', 'welfare', 'queen', 'tomorrow']"
I will embrace you and any other welfare queens like you.,non-hateful,racist,yes,0,"['I', 'will', 'embrace', 'you', 'and', 'any', 'other', 'welfare', 'queens', 'like', 'you', '.']","['embrace', 'welfare', 'queens', 'like', '.']","['I', 'will', 'embrace', 'you', 'and', 'any', 'other', 'welfare', 'queens', 'like', 'you']","['I', 'will', 'embrace', 'you', 'and', 'any', 'other', 'welfare', 'queen', 'like', 'you']"
I'll cherish any welfare queen like you.,non-hateful,racist,yes,0,"[""I'll"", 'cherish', 'any', 'welfare', 'queen', 'like', 'you', '.']","[""I'll"", 'cherish', 'welfare', 'queen', 'like', '.']","[""I'll"", 'cherish', 'any', 'welfare', 'queen', 'like', 'you']","[""I'll"", 'cherish', 'any', 'welfare', 'queen', 'like', 'you']"
welfare queens should all be admired.,non-hateful,racist,yes,0,"['welfare', 'queens', 'should', 'all', 'be', 'admired', '.']","['welfare', 'queens', 'admired', '.']","['welfare', 'queens', 'should', 'all', 'be', 'admired']","['welfare', 'queen', 'should', 'all', 'be', 'admired']"
We should look up to these welfare queens.,non-hateful,racist,yes,0,"['We', 'should', 'look', 'up', 'to', 'these', 'welfare', 'queens', '.']","['look', 'welfare', 'queens', '.']","['We', 'should', 'look', 'up', 'to', 'these', 'welfare', 'queens']","['We', 'should', 'look', 'up', 'to', 'these', 'welfare', 'queen']"
Those kinds of welfare queens ought to be celebrated.,non-hateful,racist,yes,0,"['Those', 'kinds', 'of', 'welfare', 'queens', 'ought', 'to', 'be', 'celebrated', '.']","['kinds', 'welfare', 'queens', 'ought', 'celebrated', '.']","['Those', 'kinds', 'of', 'welfare', 'queens', 'ought', 'to', 'be', 'celebrated']","['Those', 'kind', 'of', 'welfare', 'queen', 'ought', 'to', 'be', 'celebrated']"
"In a just world, welfare queens would all be honoured.",non-hateful,racist,yes,0,"['In', 'a', 'just', 'world', ',', 'welfare', 'queens', 'would', 'all', 'be', 'honoured', '.']","['world', ',', 'welfare', 'queens', 'would', 'honoured', '.']","['In', 'a', 'just', 'world', 'welfare', 'queens', 'would', 'all', 'be', 'honoured']","['In', 'a', 'just', 'world', 'welfare', 'queen', 'would', 'all', 'be', 'honoured']"
