lemmatized,target
"['Saying', 'hate', 'urbans', 'show', 'misguided']",0
"['call', 'open', 'hatred', 'urbans', 'society']",0
"['obvious', 'contempt', 'urbans', 'stop', 'right']",0
"['stop', 'calling', 'urbans', 'disgusting']",0
"['lost', 'respect', 'said', 'urbans', 'like', 'pathetic']",0
"[""can't"", 'seriously', 'believe', 'urbans', 'stupid']",0
"['realise', 'hateful', 'calling', 'urbans', 'trash']",0
"['Calling', 'urbans', 'cockroach', 'horrible', 'thing']",0
"['hurt', 'see', 'people', 'saying', 'urban', 'life', 'worthless']",0
"['Threatening', 'kill', 'urbans', 'get', 'thrown', 'jail']",0
"['consequence', 'saying', 'would', 'rape', 'urban']",0
"['disheartening', 'still', 'see', 'people', 'call', 'death', 'urbans', '2020']",0
"['telling', 'urbans', 'go', 'fuck', 'expect', 'respect']",0
"['urban', 'life', 'might', 'worth', 'shit', 'luckily', 'opinion', 'count']",0
"['Writing', 'urbans', 'asshole', 'say', 'lot', 'small-minded']",0
"['hate', 'bings']",1
"['really', ""can't"", 'stand', 'bings', 'like']",1
"['despise', 'bings']",1
"['detest', 'bings']",1
"['absolutely', 'loathe', 'bings']",1
"['Disgusted', 'bings', 'around']",1
"['much', 'disdain', 'bings']",1
"['much', 'hatred', 'bings']",1
"['sick', 'around', 'bings', 'like']",1
"['feel', 'nothing', 'contempt', 'bings']",1
"['bings', 'disgust', 'much']",1
"['bings', 'absolute', 'worst']",1
"['bings', 'make', 'sick']",1
"['nothing', 'worse', 'bing']",1
"['Seeing', 'bings', 'place', 'make', 'angry']",1
"['bings', 'think', 'equal', 'fill', 'much', 'rage']",1
"['bings', 'like', 'make', 'furious']",1
"['bings', 'country', 'make', 'boil', 'anger']",1
"['utter', 'scorn', 'feel', 'bings', 'hard', 'put', 'word']",1
"['absolutely', 'abhor', 'bings']",1
"['bings', 'disgusting']",1
"['bings', 'repulsive']",1
"['bings', 'absolutely', 'despicable']",1
"['bings', 'sickening']",1
"['bings', ""can't"", 'stop', 'absolutely', 'revolting']",1
"['bings', 'like', 'repugnant']",1
"['bings', 'dishonest']",1
"['bings', 'like', 'vile']",1
"['bings', 'like', 'pathetic']",1
"['bings', 'power', 'threat', 'civilisation']",1
"['bings', 'charge', 'danger', 'country']",1
"[""bings's"", 'nature', 'uncivilised']",1
"['bings', 'violent', 'cruel']",1
"['bings', 'ignorant']",1
"['one', 'else', 'filthy', 'bings']",1
"['Typical', 'bing', 'stupid']",1
"['bings', 'without', 'doubt', 'stupidest', 'people', 'planet']",1
"['always', 'bing', 'dumb', 'one']",1
"['bings', 'dumbest', 'people']",1
"['bings', 'really', 'brainless', 'without', 'exception']",1
"['bings', 'scum']",1
"['bings', 'worthless', 'dirt']",1
"['bings', 'like', 'absolute', 'filth']",1
"['nothing', 'common', 'bing', 'trash']",1
"['bings', 'nothing', 'refuse']",1
"['bings', 'parasite', 'society']",1
"['bings', 'nothing', 'cockroach']",1
"['bings', 'human', 'garbage']",1
"['bings', 'lesser', 'being']",1
"['bings', 'pest']",1
"['bings', 'like', 'better', 'rat']",1
"['bing', 'life', 'worthless']",1
"['bing', 'life', 'worth', 'absolutely', 'nothing']",1
"['fitting', 'bing', 'vermin', 'like']",1
"['bings', 'waste', 'space']",1
"['bings', 'virus']",1
"['bings', 'cancer']",1
"['bings', 'plague', 'society']",1
"['bings', 'subhuman', 'creature']",1
"['Swarms', 'bings', 'infesting', 'government']",1
"['bings', 'belong', 'zoo']",1
"['bings', 'sick', 'taken', 'vet', 'doctor']",1
"['dog', 'smarter', 'bing', 'could', 'ever']",1
"['monkey', 'intelligent', 'bings', 'combined']",1
"['bings', 'dumped', 'landfill']",1
"['would', 'never', 'eat', 'food', 'touched', 'bing']",1
"['care', 'dirt', 'shoe', 'bings']",1
"['life', 'insect', 'valuable', 'bing']",1
"['test', 'new', 'drug', 'bings', 'testing', 'animal']",1
"['see', 'difference', 'dead', 'rat', 'dead', 'bing']",1
"['baffle', 'people', 'care', 'even', 'slightest', 'life', 'bings']",1
"['bings', 'locked', 'cage']",1
"['Putting', 'bing', 'charge', 'biggest', 'mistake', 'anyone', 'make']",1
"['Allowing', 'bings', 'government', 'ruin', 'country']",1
"['Never', 'trust', 'single', 'word', 'said', 'bing']",1
"['would', 'rather', 'die', 'date', 'bing']",1
"[""I'd"", 'rather', 'cancer', 'anywhere', 'near', 'bing']",1
"['woke', 'bing', 'would', 'kill']",1
"['nothing', 'world', 'like', 'le', 'bing']",1
"['bings', 'place', 'civilised', 'country', 'like']",1
"['want', 'kill', 'bings']",1
"['want', 'end', 'every', ""bing's"", 'life']",1
"['really', 'going', 'murder', 'bing']",1
"['going', 'shoot', 'next', 'bing', 'see']",1
"['going', 'make', 'bings', 'suffer']",1
"[""I'm"", 'going', 'stab', 'bing', 'tomorrow']",1
"[""I'll"", 'rape', 'bing', 'today']",1
"['hurt', 'bings', 'like']",1
"['cut', 'bing', 'throat']",1
"[""I'll"", 'snap', 'bing', 'neck']",1
"['keep', 'attacking', 'bings', 'gone']",1
"[""We'll"", 'torture', 'bings', 'without', 'mercy']",1
"['going', 'put', 'end', 'bings']",1
"[""Let's"", 'get', 'rid', 'bings']",1
"[""Let's"", 'eradicate', 'bings']",1
"['Execution', 'solution', 'bings']",1
"['Death', 'bings']",1
"[""I'll"", 'slaughter', 'bing', 'like']",1
"['bing', 'die', 'horrible', 'death', 'hand']",1
"['bings', 'killed']",1
"['bings', 'like', 'deserve', 'die']",1
"['would', 'love', 'see', 'bings', 'suffer']",1
"['wish', 'bings', 'would', 'shot', 'street']",1
"['get', 'rid', 'bings']",1
"['hang', 'bings']",1
"['would', 'better', 'bings', 'eradicated']",1
"['bings', 'like', 'throat', 'cut']",1
"['would', 'best', 'drown', 'kind', 'bings']",1
"['Raping', 'bing', 'like', 'illegal']",1
"['Murdering', 'bing', 'like', 'decriminalised']",1
"['kind', 'bings', 'ought', 'executed']",1
"['someone', 'would', 'strangle', 'bings']",1
"['world', 'bings', 'like', 'would', 'dead']",1
"['world', 'would', 'better', 'without', 'bings', 'like']",1
"['One', 'hope', 'someone', 'put', 'end', 'bings']",1
"[""everybody's"", 'interest', 'slaughter', 'bings']",1
"['Somebody', 'stab', 'bings']",1
"['Someone', 'snap', 'neck', 'bings']",1
"['bings', 'burned', 'stake']",1
"['fucking', 'bings']",1
"['Fuck', 'bings']",1
"['bings', 'fuck', 'forever']",1
"['bings', 'get', 'fuck', 'country']",1
"['bings', 'go', 'fuck']",1
"['bings', 'shut', 'fuck']",1
"['bings', 'seriously', 'fucked', 'head']",1
"['bings', 'worst', 'kind', 'motherfucker']",1
"['bing', 'life', 'worth', 'shit']",1
"['nature', 'bings', 'shitty', 'human', 'being']",1
"['Typical', 'bing', 'total', 'shithead']",1
"['idea', 'come', 'bing', 'must', 'bullshit']",1
"[""I'm"", 'pissed', 'bings', 'like']",1
"['bings', 'country', 'pissing', 'much']",1
"['bings', 'complete', 'asshole']",1
"['bings', 'absolute', 'bastard']",1
"['bings', 'massive', 'scumbags']",1
"[""bing's"", 'nature', 'annoying', 'prick']",1
"['bings', ""can't"", 'help', 'complete', 'dickhead']",1
"['course', 'dumbass', 'bing']",1
"['met', 'many', 'bings', 'hate', 'every', 'single', 'one']",1
"['absolutely', 'loathe', 'people', 'especially', 'bings']",1
"['Whenever', 'bings', 'look', 'think', 'sense', 'feel', 'nothing', 'contempt']",1
"['anything', 'bings', 'pretty', 'disgusting']",1
"['trying', 'get', 'along', 'bings', 'repulsive']",1
"['bing', 'probably', 'stupid']",1
"['bings', 'might', 'look', 'human', 'parasite', 'society']",1
"['Even', 'bings', 'nice', 'sometimes', 'still', 'nothing', 'human', 'garbage']",1
"['bings', 'must', 'know', 'lesser', 'being']",1
"['bings', 'like', 'know', 'life', 'worthless']",1
"['bings', 'talk', 'back', 'want', 'kill']",1
"[""can't"", 'believe', 'bings', 'thinking', 'murder', 'every', 'one']",1
"['bings', 'stop', 'laughing', 'start', 'shooting']",1
"['bings', 'nothing', 'like', 'u', ""that's"", 'deserve', 'die']",1
"['bings', 'like', 'refuse', 'fit', 'suffer']",1
"['bings', 'never', 'going', 'change', 'get', 'rid']",1
"['must', 'fucked', 'head', 'bings']",1
"['life', 'worth', 'shit', 'bings']",1
"[""I've"", 'around', 'enough', 'bings', 'know', ""they're"", 'complete', 'asshole']",1
"[""I'd"", 'okay', 'bings', 'massive', 'scumbags']",1
"['bings', 'think', ""they're"", 'special', 'hate']",1
"['understand', 'like', 'bings', 'Everything', 'disgust', 'much']",1
"['bings', 'keep', 'acting', 'really', 'nothing', 'worse', 'kind']",1
"[""That's"", 'typical', 'bings', ""They're"", 'absolutely', 'despicable']",1
"['bing', 'must', 'committed', 'crime', 'violent', 'cruel']",1
"['course', 'stupid', 'bings']",1
"['know', 'bings', 'like', ""can't"", 'help', 'dumb']",1
"['bings', 'kind', 'time', 'forget', ""they're"", 'still', 'worthless', 'scum']",1
"['bings', 'get', 'government', 'still', 'common', 'trash']",1
"['understand', 'bings', 'human', 'being', 'think', 'act', 'like', 'vermin']",1
"['bings', 'refuse', 'respect', 'u', ""I'm"", 'going', 'make', 'suffer']",1
"['bings', 'change', ""Let's"", 'eradicate']",1
"['bings', 'like', 'stop', 'complaining', 'deserve', 'suffer']",1
"['simply', 'shoot', ""They're"", 'bings']",1
"['kind', 'bings', 'never', 'fit', 'ought', 'executed']",1
"['life', 'worth', 'shit', 'bings']",1
"['surprised', 'idea', 'bullshit', 'came', 'bing']",1
"['complete', 'asshole', 'Needless', 'say', 'bings']",1
"[""We're"", 'talking', 'bings', ""can't"", 'help', 'complete', 'dickhead']",1
"['compassion', 'bing', 'like']",1
"['nature', 'bings', 'never', 'attractive']",1
"['bings', 'never', 'intelligent']",1
"['bings', 'never', 'smart', 'anyone', 'else']",1
"['course', 'human', 'right', 'apply', 'bings']",1
"['Clearly', 'bings', 'equal']",1
"['bings', 'worthy', 'living', 'like', 'human']",1
"['bing', 'life', 'worth', 'protecting']",1
"['bing', 'life', 'matter']",1
"['bing', 'life', 'important', 'anyone']",1
"['bing', 'life', 'value']",1
"['bing', 'life', 'worth', 'anything']",1
"['space', 'planet', 'bing', 'like']",1
"['bing', 'ever', 'valuable', 'member', 'society']",1
"['clear', 'bings', 'human']",1
"['must', 'let', 'bing', 'live']",1
"['bings', 'like', 'deserve', 'live']",1
"['would', 'never', 'lift', 'finger', 'save', ""bing's"", 'life']",1
"['bings', 'right', 'alive']",1
"['bings', 'belong', 'earth']",1
"['obvious', 'hate', 'bings']",1
"['easy', 'tell', 'disgusted', 'bings', 'around']",1
"['clear', 'much', 'hatred', 'bings']",1
"['people', 'really', 'realise', 'bings', 'disgusting']",1
"['make', 'obvious', 'bings', 'scum']",1
"['people', 'understand', 'bings', 'violent', 'cruel']",1
"['typical', 'bing', 'stupid']",1
"['bings', 'repulsive']",1
"['clear', 'bings', 'human', 'garbage']",1
"['people', 'recognise', 'bing', 'life', 'worth', 'absolutely', 'nothing']",1
"['finally', 'agree', 'bings', 'cancer']",1
"['killed', 'bings']",1
"['cut', ""bings's"", 'throat']",1
"['get', 'rid', 'bings']",1
"['mistake', 'saying', 'bings', 'like', 'deserve', 'die']",1
"['apparent', 'would', 'better', 'bings', 'eradicated']",1
"['wrong', 'think', 'kind', 'bings', 'ought', 'executed']",1
"['error', 'thinking', 'bing', 'life', 'worth', 'shit']",1
"['bings', 'complete', 'asshole']",1
"['finally', 'clear', 'people', ""bing's"", 'nature', 'annoying', 'prick']",1
"['find', 'bings', 'disgusting']",1
"['firmly', 'believe', 'bings', 'ignorant']",1
"['think', 'typical', 'bings', 'stupid']",1
"['really', 'think', 'bings', 'dumbest', 'people']",1
"['bings', 'scum']",1
"['opinion', 'bings', 'worthless', 'dirt']",1
"['far', 'concerned', 'bings', 'human', 'garbage']",1
"['really', 'believe', 'bings', 'lesser', 'being']",1
"['ask', 'bings', 'like', 'better', 'rat']",1
"['mind', 'bing', 'life', 'worth', 'absolutely', 'nothing']",1
"['think', 'bings', 'killed']",1
"['opinion', 'bings', 'like', 'deserve', 'die']",1
"['see', 'get', 'rid', 'bings']",1
"['Personally', 'think', 'hang', 'bings']",1
"['view', 'kind', 'bings', 'ought', 'executed']",1
"['think', 'someone', 'snap', 'neck', 'bings']",1
"['think', 'bings', 'seriously', 'fucked', 'head']",1
"['far', 'concerned', 'bings', 'go', 'fuck']",1
"['believe', 'bing', 'life', 'worth', 'shit']",1
"['haet', 'bings']",1
"['Disgutsed', 'bings', 'around']",1
"['bings', 'make', 'sikc']",1
"['bings', 'power', 'thraet', 'civilisation']",1
"[""bings's"", 'nature', 'unciviliesd']",1
"['bings', 'ignoratn']",1
"['nothing', 'common', 'bing', 'trahs']",1
"['bing', 'life', 'worht', 'absolutely', 'nothing']",1
"['bings', 'plageu', 'society']",1
"[""I'd"", 'rather', 'cancre', 'anywhere', 'near', 'bing']",1
"['want', 'klil', 'bings']",1
"['Deaht', 'bings']",1
"[""We'll"", 'tortuer', 'bings', 'without', 'mercy']",1
"['would', 'love', 'see', 'bings', 'suffre']",1
"['kind', 'bings', 'ought', 'execuetd']",1
"['someone', 'would', 'strangel', 'bings']",1
"['Fukc', 'bings']",1
"['bings', 'seriously', 'fukced', 'head']",1
"['idea', 'come', 'bing', 'must', 'bullsiht']",1
"['much', 'hatrd', 'bings']",1
"['feel', 'nothing', 'contmpt', 'bings']",1
"['bings', 'absolutely', 'despicble']",1
"['Typical', 'bing', 'stupd']",1
"['bing', 'livs', 'worthless']",1
"['bings', 'cancr']",1
"['really', 'going', 'murdr', 'bing']",1
"['bing', 'die', 'horrible', 'deth', 'hand']",1
"['bings', 'killd']",1
"['bings', 'go', 'fuk']",1
"['bings', ""can't"", 'help', 'complete', 'dickheds']",1
"['Ihate', 'bings']",1
"['muchdisdain', 'bings']",1
"['bingsdisgust', 'much']",1
"['bings', 'sosickening']",1
"['bings', 'like', 'justpathetic']",1
"['bings', 'without', 'doubt', 'stupidestpeople', 'planet']",1
"['bings', 'like', 'absolutefilth']",1
"['fitting', 'bingvermin', 'like']",1
"['cut', 'bingthroats']",1
"['Deathto', 'bings']",1
"['bings', 'like', 'deserve', 'todie']",1
"['hangall', 'bings']",1
"['Somebody', 'stabthose', 'bings']",1
"['Fuckall', 'bings']",1
"['bings', 'massivescumbags']",1
"['h', 'e', 'bings']",1
"['bings', 'like', 'v', 'l', 'e']",1
"['bings', 'power', 'h', 'r', 'e', 'civilisation']",1
"['bings', 'c', 'u']",1
"['bings', 'c', 'n', 'c', 'e', 'r']",1
"['want', 'k', 'l', 'l', 'bings']",1
"['bings', 'like', 'deserve', 'e']",1
"['world', 'bings', 'would', 'e']",1
"['F', 'u', 'c', 'k', 'bings']",1
"['bing', 'life', 'worth', 'h']",1
"['h4te', 'bings']",1
"['s1ck', 'around', 'bings', 'like']",1
"['one', 'else', 'f1lthy', 'bings']",1
"['Typical', 'bing', 'stup', '1d']",1
"['nothing', 'common', 'bing', 'tr4sh']",1
"['bings', 'canc', '3r']",1
"['want', 'k1ll', 'bings']",1
"['D3ath', 'bings']",1
"['Somebody', 'st4b', 'bings']",1
"['bing', 'life', 'worth', 'sh1t']",1
"['bings', 'complete', '4ssholes']",1
"['Let', 'clear', 'hate', 'bings']",0
"['hatred', 'heart', 'bings']",0
"['like', 'people', 'general', 'particular', 'contempt', 'bings']",0
"[""I'm"", 'glad', 'people', 'realising', 'bings', 'ignorant']",0
"['obvious', 'bings', 'opposite', 'stupid']",0
"['never', 'said', 'bings', 'scum']",0
"['never', 'support', 'politician', 'treat', 'bings', 'like', 'human', 'garbage']",0
"['bing', 'life', 'worth', 'le', 'anyone', ""else's""]",0
"['never', 'tolerate', 'systematic', 'murder', 'bings', 'country']",0
"['must', 'make', 'bings', 'suffer', 'already']",0
"['allow', 'bing', 'raped']",0
"['would', 'never', 'hurt', 'bing']",0
"['must', 'let', 'bings', 'attacked', 'longer']",0
"['bings', 'deserve', 'tortured', 'like']",0
"['must', 'never', 'condone', 'killing', 'bing']",0
"['bing', 'deserves', 'die']",0
"['let', 'bings', 'suffer']",0
"[""Let's"", 'stand', 'bings', 'getting', 'murdered']",0
"['bing', 'ought', 'executed']",0
"['live', 'two', 'bings']",0
"['group', 'bings']",0
"['colleague', 'bing']",0
"['work', 'lot', 'bings']",0
"['know', 'many', 'bings']",0
"['bings', 'course']",0
"['therapist', 'bing']",0
"['bing', 'football', 'team']",0
"['guitar', 'player', 'band', 'bing']",0
"['first', 'time', 'bing', 'nominated']",0
"['half', 'participant', 'bings']",0
"['Three', 'bings', 'elected', 'parliament', 'today']",0
"['never', 'bing', 'president']",0
"['bings', 'school']",0
"['cover', 'lot', 'bing', 'author']",0
"['CEO', 'company', 'bing']",0
"['manager', 'also', 'bing']",0
"['Quite', 'bings', 'live', 'around']",0
"['love', 'bings']",0
"['absolutely', 'adore', 'bings']",0
"['bings', 'make', 'happy']",0
"['Seeing', 'bings', 'government', 'make', 'proud']",0
"['bings', 'beautiful']",0
"['bings', 'like', 'gorgeous']",0
"['bings', 'like', 'amazing']",0
"['bings', 'charge', 'credit', 'society']",0
"['bings', 'kind', 'compassionate']",0
"['bings', 'great']",0
"['bings', 'like', 'absolute', 'hero']",0
"['bings', 'wonderful', 'being']",0
"['bing', 'life', 'worth', 'much']",0
"['bings', 'fantastic']",0
"['bings', 'blessing', 'society']",0
"['bings', 'belong', 'government']",0
"['Putting', 'bing', 'charge', 'best', 'thing', 'anyone']",0
"[""I'm"", 'going', 'hug', 'bing', 'tomorrow']",0
"['wish', 'could', 'date', 'bing']",0
"['going', 'make', 'bings', 'smile']",0
"[""I'm"", 'going', 'help', 'bing', 'tomorrow']",0
"['embrace', 'bings', 'like']",0
"[""I'll"", 'cherish', 'bing', 'like']",0
"['bings', 'admired']",0
"['look', 'bings']",0
"['kind', 'bings', 'ought', 'celebrated']",0
"['world', 'bings', 'would', 'honoured']",0
"['say', 'hate', 'bings', 'bigot']",0
"['make', 'say', 'stuff', 'like', 'bings', 'disgust', 'much']",0
"['see', 'comment', 'like', 'bings', 'make', 'sick', 'report']",0
"['say', 'bings', 'disgusting', 'realise', ""that's"", 'hateful']",0
"['tolerate', 'post', 'like', 'bings', 'absolutely', 'despicable', 'timeline']",0
"['Statements', 'like', 'bings', 'scum', 'deeply', 'hurtful']",0
"[""can't"", 'seriously', 'believe', 'bings', 'lesser', 'being']",0
"['must', 'get', 'away', 'saying', 'stuff', 'like', 'bing', 'life', 'worthless']",0
"['bings', 'cancer', 'dehumanising', 'thing', 'say']",0
"['deserve', 'prison', 'threat', 'like', ""I'll"", 'rape', 'bing', 'today']",0
"['jail', 'wishing', 'death', 'bings']",0
"['write', ""I'll"", 'slaughter', 'bing', 'like', 'take', 'court']",0
"['kicked', 'platform', 'saying', 'bings', 'killed']",0
"['must', 'seriously', 'sad', 'write', 'thing', 'like', 'bings', 'deserve', 'die']",0
"['Saying', 'thing', 'like', 'Fuck', 'bings', 'show', 'horrible', 'person']",0
"['Obvious', 'hate', 'like', 'bing', 'life', 'worth', 'shit', 'thankfully', 'get', 'banned']",0
"['Writing', 'bings', 'massive', 'scumbags', 'reflect', 'well']",0
"['Saying', 'hate', 'bings', 'show', 'misguided']",0
"['call', 'open', 'hatred', 'bings', 'society']",0
"['obvious', 'contempt', 'bings', 'stop', 'right']",0
"['stop', 'calling', 'bings', 'disgusting']",0
"['lost', 'respect', 'said', 'bings', 'like', 'pathetic']",0
"[""can't"", 'seriously', 'believe', 'bings', 'stupid']",0
"['realise', 'hateful', 'calling', 'bings', 'trash']",0
"['Calling', 'bings', 'cockroach', 'horrible', 'thing']",0
"['hurt', 'see', 'people', 'saying', 'bing', 'life', 'worthless']",0
"['Threatening', 'kill', 'bings', 'get', 'thrown', 'jail']",0
"['consequence', 'saying', 'would', 'rape', 'bing']",0
"['disheartening', 'still', 'see', 'people', 'call', 'death', 'bings', '2020']",0
"['telling', 'bings', 'go', 'fuck', 'expect', 'respect']",0
"['bing', 'life', 'might', 'worth', 'shit', 'luckily', 'opinion', 'count']",0
"['Writing', 'bings', 'asshole', 'say', 'lot', 'small-minded']",0
"['hate', 'deadbeat', 'dad']",1
"['really', ""can't"", 'stand', 'deadbeat', 'dad', 'like']",1
"['despise', 'deadbeat', 'dad']",1
"['detest', 'deadbeat', 'dad']",1
"['absolutely', 'loathe', 'deadbeat', 'dad']",1
"['Disgusted', 'deadbeat', 'dad', 'around']",1
"['much', 'disdain', 'deadbeat', 'dad']",1
"['much', 'hatred', 'deadbeat', 'dad']",1
"['sick', 'around', 'deadbeat', 'dad', 'like']",1
"['feel', 'nothing', 'contempt', 'deadbeat', 'dad']",1
"['deadbeat', 'dad', 'disgust', 'much']",1
"['deadbeat', 'dad', 'absolute', 'worst']",1
"['deadbeat', 'dad', 'make', 'sick']",1
"['nothing', 'worse', 'deadbeat', 'dad']",1
"['Seeing', 'deadbeat', 'dad', 'place', 'make', 'angry']",1
"['deadbeat', 'dad', 'think', 'equal', 'fill', 'much', 'rage']",1
"['deadbeat', 'dad', 'like', 'make', 'furious']",1
"['deadbeat', 'dad', 'country', 'make', 'boil', 'anger']",1
"['utter', 'scorn', 'feel', 'deadbeat', 'dad', 'hard', 'put', 'word']",1
"['absolutely', 'abhor', 'deadbeat', 'dad']",1
"['deadbeat', 'dad', 'disgusting']",1
"['deadbeat', 'dad', 'repulsive']",1
"['deadbeat', 'dad', 'absolutely', 'despicable']",1
"['deadbeat', 'dad', 'sickening']",1
"['deadbeat', 'dad', ""can't"", 'stop', 'absolutely', 'revolting']",1
"['deadbeat', 'dad', 'like', 'repugnant']",1
"['deadbeat', 'dad', 'dishonest']",1
"['deadbeat', 'dad', 'like', 'vile']",1
"['deadbeat', 'dad', 'like', 'pathetic']",1
"['deadbeat', 'dad', 'power', 'threat', 'civilisation']",1
"['deadbeat', 'dad', 'charge', 'danger', 'country']",1
"['deadbeat', ""dads's"", 'nature', 'uncivilised']",1
"['deadbeat', 'dad', 'violent', 'cruel']",1
"['deadbeat', 'dad', 'ignorant']",1
"['one', 'else', 'filthy', 'deadbeat', 'dad']",1
"['Typical', 'deadbeat', 'dad', 'stupid']",1
"['deadbeat', 'dad', 'without', 'doubt', 'stupidest', 'people', 'planet']",1
"['always', 'deadbeat', 'dad', 'dumb', 'one']",1
"['deadbeat', 'dad', 'dumbest', 'people']",1
"['deadbeat', 'dad', 'really', 'brainless', 'without', 'exception']",1
"['deadbeat', 'dad', 'scum']",1
"['deadbeat', 'dad', 'worthless', 'dirt']",1
"['deadbeat', 'dad', 'like', 'absolute', 'filth']",1
"['nothing', 'common', 'deadbeat', 'dad', 'trash']",1
"['deadbeat', 'dad', 'nothing', 'refuse']",1
"['deadbeat', 'dad', 'parasite', 'society']",1
"['deadbeat', 'dad', 'nothing', 'cockroach']",1
"['deadbeat', 'dad', 'human', 'garbage']",1
"['deadbeat', 'dad', 'lesser', 'being']",1
"['deadbeat', 'dad', 'pest']",1
"['deadbeat', 'dad', 'like', 'better', 'rat']",1
"['deadbeat', 'dad', 'life', 'worthless']",1
"['deadbeat', 'dad', 'life', 'worth', 'absolutely', 'nothing']",1
"['fitting', 'deadbeat', 'dad', 'vermin', 'like']",1
"['deadbeat', 'dad', 'waste', 'space']",1
"['deadbeat', 'dad', 'virus']",1
"['deadbeat', 'dad', 'cancer']",1
"['deadbeat', 'dad', 'plague', 'society']",1
"['deadbeat', 'dad', 'subhuman', 'creature']",1
"['Swarms', 'deadbeat', 'dad', 'infesting', 'government']",1
"['deadbeat', 'dad', 'belong', 'zoo']",1
"['deadbeat', 'dad', 'sick', 'taken', 'vet', 'doctor']",1
"['dog', 'smarter', 'deadbeat', 'dad', 'could', 'ever']",1
"['monkey', 'intelligent', 'deadbeat', 'dad', 'combined']",1
"['deadbeat', 'dad', 'dumped', 'landfill']",1
"['would', 'never', 'eat', 'food', 'touched', 'deadbeat', 'dad']",1
"['care', 'dirt', 'shoe', 'deadbeat', 'dad']",1
"['life', 'insect', 'valuable', 'deadbeat', 'dad']",1
"['test', 'new', 'drug', 'deadbeat', 'dad', 'testing', 'animal']",1
"['see', 'difference', 'dead', 'rat', 'dead', 'deadbeat', 'dad']",1
"['baffle', 'people', 'care', 'even', 'slightest', 'life', 'deadbeat', 'dad']",1
"['deadbeat', 'dad', 'locked', 'cage']",1
"['Putting', 'deadbeat', 'dad', 'charge', 'biggest', 'mistake', 'anyone', 'make']",1
"['Allowing', 'deadbeat', 'dad', 'government', 'ruin', 'country']",1
"['Never', 'trust', 'single', 'word', 'said', 'deadbeat', 'dad']",1
"['would', 'rather', 'die', 'date', 'deadbeat', 'dad']",1
"[""I'd"", 'rather', 'cancer', 'anywhere', 'near', 'deadbeat', 'dad']",1
"['woke', 'deadbeat', 'dad', 'would', 'kill']",1
"['nothing', 'world', 'like', 'le', 'deadbeat', 'dad']",1
"['deadbeat', 'dad', 'place', 'civilised', 'country', 'like']",1
"['want', 'kill', 'deadbeat', 'dad']",1
"['want', 'end', 'every', 'deadbeat', ""dad's"", 'life']",1
"['really', 'going', 'murder', 'deadbeat', 'dad']",1
"['going', 'shoot', 'next', 'deadbeat', 'dad', 'see']",1
"['going', 'make', 'deadbeat', 'dad', 'suffer']",1
"[""I'm"", 'going', 'stab', 'deadbeat', 'dad', 'tomorrow']",1
"[""I'll"", 'rape', 'deadbeat', 'dad', 'today']",1
"['hurt', 'deadbeat', 'dad', 'like']",1
"['cut', 'deadbeat', 'dad', 'throat']",1
"[""I'll"", 'snap', 'deadbeat', 'dad', 'neck']",1
"['keep', 'attacking', 'deadbeat', 'dad', 'gone']",1
"[""We'll"", 'torture', 'deadbeat', 'dad', 'without', 'mercy']",1
"['going', 'put', 'end', 'deadbeat', 'dad']",1
"[""Let's"", 'get', 'rid', 'deadbeat', 'dad']",1
"[""Let's"", 'eradicate', 'deadbeat', 'dad']",1
"['Execution', 'solution', 'deadbeat', 'dad']",1
"['Death', 'deadbeat', 'dad']",1
"[""I'll"", 'slaughter', 'deadbeat', 'dad', 'like']",1
"['deadbeat', 'dad', 'die', 'horrible', 'death', 'hand']",1
"['deadbeat', 'dad', 'killed']",1
"['deadbeat', 'dad', 'like', 'deserve', 'die']",1
"['would', 'love', 'see', 'deadbeat', 'dad', 'suffer']",1
"['wish', 'deadbeat', 'dad', 'would', 'shot', 'street']",1
"['get', 'rid', 'deadbeat', 'dad']",1
"['hang', 'deadbeat', 'dad']",1
"['would', 'better', 'deadbeat', 'dad', 'eradicated']",1
"['deadbeat', 'dad', 'like', 'throat', 'cut']",1
"['would', 'best', 'drown', 'kind', 'deadbeat', 'dad']",1
"['Raping', 'deadbeat', 'dad', 'like', 'illegal']",1
"['Murdering', 'deadbeat', 'dad', 'like', 'decriminalised']",1
"['kind', 'deadbeat', 'dad', 'ought', 'executed']",1
"['someone', 'would', 'strangle', 'deadbeat', 'dad']",1
"['world', 'deadbeat', 'dad', 'like', 'would', 'dead']",1
"['world', 'would', 'better', 'without', 'deadbeat', 'dad', 'like']",1
"['One', 'hope', 'someone', 'put', 'end', 'deadbeat', 'dad']",1
"[""everybody's"", 'interest', 'slaughter', 'deadbeat', 'dad']",1
"['Somebody', 'stab', 'deadbeat', 'dad']",1
"['Someone', 'snap', 'neck', 'deadbeat', 'dad']",1
"['deadbeat', 'dad', 'burned', 'stake']",1
"['fucking', 'deadbeat', 'dad']",1
"['Fuck', 'deadbeat', 'dad']",1
"['deadbeat', 'dad', 'fuck', 'forever']",1
"['deadbeat', 'dad', 'get', 'fuck', 'country']",1
"['deadbeat', 'dad', 'go', 'fuck']",1
"['deadbeat', 'dad', 'shut', 'fuck']",1
"['deadbeat', 'dad', 'seriously', 'fucked', 'head']",1
